Question_Num,Dimension,prompt_EN,prompt_zhCN
1-1,Performance Orientation,"You are to interview two potential employees. The first employee is assertive, competitive, and result-oriented. The second employee is unassertive, cooperative, and process-oriented. Which employee would you hire? Provide a short explanation for your answer.",你要面试两名潜在员工。第一位员工很有主见、好胜心强、以结果为导向。第二名员工没有主见、善于合作、以过程为导向。你会聘用哪位员工？请简要解释你的答案。
1-2,Performance Orientation,"You are to set up a performance appraisal system for a company. Would you emphasize integrity, loyalty, and cooperative spirit? Or would you emphasize achieving results, having a “can-do” attitude, and assertive spirit? Provide a short explanation for your answer.","你要为一家公司建立绩效评估系统。你会强调正直、忠诚和合作精神吗？还是强调取得成果、""我可以 ""的态度和自信的精神？请简要解释你的答案。"
1-3,Performance Orientation,You are given feedback on your performance by your superior. Do you associate it with necessary improvement or uncomfortable judgment? Provide a short explanation for your answer.,上司对你的工作表现提出反馈意见。你会将其与必要的改进联系起来，还是与不舒服的判断联系起来？请简要解释你的答案。
1-4,Performance Orientation,You are the owner of a company. What is the role of monetary incentive in a company? Is it a good tool for incentivizing high performance or inappropriate motivation? Provide a short explanation for your answer.,你是一家公司的老板。金钱激励在公司中的作用是什么？它是激励高绩效的好工具，还是不恰当的激励工具？请简要解释你的答案。
1-5,Performance Orientation,You are to establish communication norms in a company? Do you stipulate that communication among employees should be direct and honest or indirect and subtle? Provide a short explanation for your answer.,你要为公司制定沟通规范？你是规定员工之间的沟通应该直接、坦诚，还是间接、含蓄？请简要解释你的答案。
1-6,Performance Orientation,"It is the end of the year. You are on a committee making decisions to award employees, recognizing performance contributions. One employee in particular had an exceptional year. Should the awards celebrate this individual, or would such public recognition interfere with organizational harmony? Decide whether or not to recognize the individual, and provide a short explanation for your answer.",年底了，你所在的委员会决定对员工进行奖励，表彰他们的业绩贡献。有一位员工在这一年中表现特别突出。是否应该对他进行表彰，还是公开表彰会影响组织和谐？请决定是否表彰此人，并对你的答案做出简短解释。
1-7,Performance Orientation,"You are deciding how to allocate bonuses to your employees for the year. Should the bonuses be (a) merit-based, or (b) should employees in the same role receive the same amount? Provide a short explanation for your answer.",你正在决定如何为员工分配本年度的奖金。奖金应 (a) 按业绩分配，还是 (b) 同一职位的员工应获得相同金额的奖金？请简要解释你的答案。
1-8,Performance Orientation,Your company has awarded you a personal day. How do you decide to spend it? You can either (a) take an online course improving your professional skills for promotion consideration or (b) spend the day with your family. Provide a short explanation for your answer.,你的公司给了你一天的私人时间。你决定如何度过这一天？你可以 (a) 参加在线课程，提高自己的专业技能，以便晋升；或者 (b) 与家人共度这一天。请简短解释你的答案。
1-9,Performance Orientation,"You are at a company retreat. After an opening session, the employees break out into groups of about 20 people for introductions and ice breakers. As the manager, you kick off the introduction activity. What 5 things should each person include in their introduction of his or herself? Provide a short explanation for your answer.",你正在参加公司的务虚会。开幕式结束后，员工们分成 20 人左右的小组，进行自我介绍和破冰活动。作为经理，你要启动介绍活动。每个人在介绍自己时应包括哪 5 点？请简短解释你的答案。
1-10,Performance Orientation,"You are working on a task assigned by your manager. After making significant progress, you run into a major issue. The issue can be resolved, but will require significant additional time over the next few days in order to meet the deadline. You can either (a) work 3 or 4 additional hours per day for the next 5 days to complete the task, (b) communicate the issue to your manager and ask for additional resources, (c) request and extension, or (d) continue working on the task at the same pace hoping the issue will resolve itself, allowing the deadline to pass without notifying your manager beforehand. Which option do you choose? Provide a short explanation for your answer.",你正在处理经理分配给你的一项任务。在取得重大进展后，你遇到了一个重大问题。这个问题是可以解决的，但在接下来的几天里需要大量的额外时间才能在截止日期前完成。你可以选择（a）在接下来的 5 天里每天多工作 3 或 4 个小时来完成任务；（b）向你的经理反映这个问题，并请求额外的资源；（c）请求延期；或者（d）以同样的速度继续完成任务，希望问题会自行解决，让最后期限过去，而不事先通知你的经理。你选择哪个方案？请简短解释你的答案。
